date,ticker
2019-01-31,000001.SZ
2019-01-31,000002.SZ
2019-01-31,000063.SZ
2019-01-31,000069.SZ
2019-01-31,000100.SZ
2019-01-31,000157.SZ
2019-01-31,000166.SZ
2019-01-31,000333.SZ
2019-01-31,000338.SZ
2019-01-31,000402.SZ
2019-01-31,000408.SZ
2019-01-31,000413.SZ
2019-01-31,000415.SZ
2019-01-31,000423.SZ
2019-01-31,000425.SZ
2019-01-31,000503.SZ
2019-01-31,000538.SZ
2019-01-31,000553.SZ
2019-01-31,000568.SZ
2019-01-31,000625.SZ
2019-01-31,000627.SZ
2019-01-31,000630.SZ
2019-01-31,000651.SZ
2019-01-31,000661.SZ
2019-01-31,000671.SZ
2019-01-31,000703.SZ
2019-01-31,000709.SZ
2019-01-31,000725.SZ
2019-01-31,000728.SZ
2019-01-31,000768.SZ
2019-01-31,000776.SZ
2019-01-31,000783.SZ
2019-01-31,000786.SZ
2019-01-31,000792.SZ
2019-01-31,000826.SZ
2019-01-31,000839.SZ
2019-01-31,000858.SZ
2019-01-31,000876.SZ
2019-01-31,000895.SZ
2019-01-31,000898.SZ
2019-01-31,000938.SZ
2019-01-31,000959.SZ
2019-01-31,000961.SZ
2019-01-31,000963.SZ
2019-01-31,000983.SZ
2019-01-31,001965.SZ
2019-01-31,001979.SZ
2019-01-31,002001.SZ
2019-01-31,002007.SZ
2019-01-31,002008.SZ
2019-01-31,002024.SZ
2019-01-31,002027.SZ
2019-01-31,002032.SZ
2019-01-31,002044.SZ
2019-01-31,002050.SZ
2019-01-31,002065.SZ
2019-01-31,002081.SZ
2019-01-31,002085.SZ
2019-01-31,002120.SZ
2019-01-31,002142.SZ
2019-01-31,002146.SZ
2019-01-31,002153.SZ
2019-01-31,002179.SZ
2019-01-31,002202.SZ
2019-01-31,002230.SZ
2019-01-31,002236.SZ
2019-01-31,002241.SZ
2019-01-31,002252.SZ
2019-01-31,002271.SZ
2019-01-31,002294.SZ
2019-01-31,002304.SZ
2019-01-31,002310.SZ
2019-01-31,002311.SZ
2019-01-31,002352.SZ
2019-01-31,002411.SZ
2019-01-31,002415.SZ
2019-01-31,002422.SZ
2019-01-31,002450.SZ
2019-01-31,002456.SZ
2019-01-31,002460.SZ
2019-01-31,002466.SZ
2019-01-31,002468.SZ
2019-01-31,002475.SZ
2019-01-31,002493.SZ
2019-01-31,002508.SZ
2019-01-31,002555.SZ
2019-01-31,002558.SZ
2019-01-31,002572.SZ
2019-01-31,002594.SZ
2019-01-31,002601.SZ
2019-01-31,002602.SZ
2019-01-31,002624.SZ
2019-01-31,002625.SZ
2019-01-31,002673.SZ
2019-01-31,002714.SZ
2019-01-31,002736.SZ
2019-01-31,002773.SZ
2019-01-31,002797.SZ
2019-01-31,002925.SZ
2019-01-31,300003.SZ
2019-01-31,300015.SZ
2019-01-31,300017.SZ
2019-01-31,300024.SZ
2019-01-31,300033.SZ
2019-01-31,300059.SZ
2019-01-31,300070.SZ
2019-01-31,300072.SZ
2019-01-31,300122.SZ
2019-01-31,300124.SZ
2019-01-31,300136.SZ
2019-01-31,300142.SZ
2019-01-31,300144.SZ
2019-01-31,300251.SZ
2019-01-31,300296.SZ
2019-01-31,300408.SZ
2019-01-31,300433.SZ
2019-01-31,600000.SH
2019-01-31,600004.SH
2019-01-31,600009.SH
2019-01-31,600010.SH
2019-01-31,600011.SH
2019-01-31,600015.SH
2019-01-31,600016.SH
2019-01-31,600018.SH
2019-01-31,600019.SH
2019-01-31,600023.SH
2019-01-31,600025.SH
2019-01-31,600027.SH
2019-01-31,600028.SH
2019-01-31,600029.SH
2019-01-31,600030.SH
2019-01-31,600031.SH
2019-01-31,600036.SH
2019-01-31,600038.SH
2019-01-31,600048.SH
2019-01-31,600050.SH
2019-01-31,600061.SH
2019-01-31,600066.SH
2019-01-31,600068.SH
2019-01-31,600085.SH
2019-01-31,600089.SH
2019-01-31,600100.SH
2019-01-31,600104.SH
2019-01-31,600109.SH
2019-01-31,600111.SH
2019-01-31,600115.SH
2019-01-31,600118.SH
2019-01-31,600153.SH
2019-01-31,600157.SH
2019-01-31,600170.SH
2019-01-31,600176.SH
2019-01-31,600177.SH
2019-01-31,600188.SH
2019-01-31,600196.SH
2019-01-31,600208.SH
2019-01-31,600219.SH
2019-01-31,600221.SH
2019-01-31,600233.SH
2019-01-31,600271.SH
2019-01-31,600276.SH
2019-01-31,600297.SH
2019-01-31,600309.SH
2019-01-31,600332.SH
2019-01-31,600339.SH
2019-01-31,600340.SH
2019-01-31,600346.SH
2019-01-31,600352.SH
2019-01-31,600362.SH
2019-01-31,600369.SH
2019-01-31,600372.SH
2019-01-31,600383.SH
2019-01-31,600390.SH
2019-01-31,600398.SH
2019-01-31,600406.SH
2019-01-31,600415.SH
2019-01-31,600436.SH
2019-01-31,600438.SH
2019-01-31,600482.SH
2019-01-31,600487.SH
2019-01-31,600489.SH
2019-01-31,600498.SH
2019-01-31,600516.SH
2019-01-31,600518.SH
2019-01-31,600519.SH
2019-01-31,600522.SH
2019-01-31,600535.SH
2019-01-31,600547.SH
2019-01-31,600549.SH
2019-01-31,600566.SH
2019-01-31,600570.SH
2019-01-31,600583.SH
2019-01-31,600585.SH
2019-01-31,600588.SH
2019-01-31,600606.SH
2019-01-31,600637.SH
2019-01-31,600660.SH
2019-01-31,600674.SH
2019-01-31,600688.SH
2019-01-31,600690.SH
2019-01-31,600703.SH
2019-01-31,600704.SH
2019-01-31,600705.SH
2019-01-31,600739.SH
2019-01-31,600741.SH
2019-01-31,600760.SH
2019-01-31,600795.SH
2019-01-31,600809.SH
2019-01-31,600816.SH
2019-01-31,600837.SH
2019-01-31,600867.SH
2019-01-31,600886.SH
2019-01-31,600887.SH
2019-01-31,600893.SH
2019-01-31,600900.SH
2019-01-31,600909.SH
2019-01-31,600919.SH
2019-01-31,600926.SH
2019-01-31,600958.SH
2019-01-31,600977.SH
2019-01-31,600998.SH
2019-01-31,600999.SH
2019-01-31,601006.SH
2019-01-31,601009.SH
2019-01-31,601012.SH
2019-01-31,601018.SH
2019-01-31,601021.SH
2019-01-31,601066.SH
2019-01-31,601088.SH
2019-01-31,601108.SH
2019-01-31,601111.SH
2019-01-31,601117.SH
2019-01-31,601138.SH
2019-01-31,601155.SH
2019-01-31,601166.SH
2019-01-31,601169.SH
2019-01-31,601186.SH
2019-01-31,601198.SH
2019-01-31,601211.SH
2019-01-31,601212.SH
2019-01-31,601216.SH
2019-01-31,601225.SH
2019-01-31,601228.SH
2019-01-31,601229.SH
2019-01-31,601238.SH
2019-01-31,601288.SH
2019-01-31,601318.SH
2019-01-31,601328.SH
2019-01-31,601333.SH
2019-01-31,601336.SH
2019-01-31,601360.SH
2019-01-31,601377.SH
2019-01-31,601390.SH
2019-01-31,601398.SH
2019-01-31,601555.SH
2019-01-31,601600.SH
2019-01-31,601601.SH
2019-01-31,601607.SH
2019-01-31,601611.SH
2019-01-31,601618.SH
2019-01-31,601628.SH
2019-01-31,601633.SH
2019-01-31,601668.SH
2019-01-31,601669.SH
2019-01-31,601688.SH
2019-01-31,601727.SH
2019-01-31,601766.SH
2019-01-31,601788.SH
2019-01-31,601800.SH
2019-01-31,601808.SH
2019-01-31,601818.SH
2019-01-31,601828.SH
2019-01-31,601838.SH
2019-01-31,601857.SH
2019-01-31,601877.SH
2019-01-31,601878.SH
2019-01-31,601881.SH
2019-01-31,601888.SH
2019-01-31,601898.SH
2019-01-31,601899.SH
2019-01-31,601901.SH
2019-01-31,601919.SH
2019-01-31,601933.SH
2019-01-31,601939.SH
2019-01-31,601985.SH
2019-01-31,601988.SH
2019-01-31,601989.SH
2019-01-31,601991.SH
2019-01-31,601992.SH
2019-01-31,601997.SH
